Number, Name, Type1, Type2, Height(in), Weight(lb), Caught
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
004, Charmander, Fire, None, 24, 18.7, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
007, Squirtle, Water, None, 20, 19.8, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
001, Bulbasaur, Grass, Poison, 28, 15.2, no
